Word/Phrase	Translation	Part of Speech	IPA	Definition
Carib		noun		"* a member of an American Indian peoples of northeastern South America and the Lesser Antilles
* the family of languages spoken by the Carib"
mentula	mentula			
scrofulous		adjective		"* afflicted with scrofula
* morally contaminated- J.D.Hart
* having a diseased appearance resembling scrofula- Farley Mowat"
lubricious		adjective		"* having a smooth or slippery quality
* characterized by lust"
mendacious		adjective	menˈdeɪʃəs	"* given to lying
* intentionally untrue"
agonist		noun		"* the principal character in a work of fiction
* someone involved in a contest or battle (as in an agon)
* a muscle that contracts while another relaxes
* a drug that can combine with a receptor on a cell to produce a physiological reaction"
metonym		noun		a word that denotes one thing but refers to a related thing
contrastive	contrastive			
internecine		adjective	ˌɪntəˈniːsaɪn	"* within a group or organization
* characterized by bloodshed and carnage for both sides"
axiology		noun		the study of values and value judgments
blithe		adjective	blaɪð	"* lacking or showing a lack of due concern
* carefree and happy and lighthearted"
insouciant		adjective	ɪnˈsuːsɪənt	marked by blithe unconcern
temerity		noun	tɪˈmerɪti	fearless daring
drear		adjective		causing dejection
extirpation		noun	ˌekstəˈpeɪʃən	"* surgical removal of a body part or tissue
* the act of pulling up or out; uprooting; cutting off from existence"
demoniac		adjective	dɪˈməʊnɪæk	frenzied as if possessed by a demon
logomachy		noun		argument about words or the meaning of words
alizarin crimson	alizarin crimson			
stolid		adjective	ˈstɒlɪd	having or revealing little emotion or sensibility; not easily aroused or excited- Nordhoff & Hall
pince-nez		noun		spectacles clipped to the nose by a spring
bodkin		noun		"* a dagger with a slender blade
* formerly a long hairpin; usually with an ornamental head
* a small sharp-pointed tool for punching holes in leather or fabric
* a blunt needle for threading ribbon through loops"
palliate		verb	ˈpælɪeɪt	"* lessen or to try to lessen the seriousness or extent of
* provide physical relief, as from pain"
disapprobation		noun	ˌdɪsˌæprəˈbeɪʃən	an expression of strong disapproval; pronouncing as wrong or morally culpable
fiat		noun	ˈfaɪæt	a legally binding command or decision entered on the court record (as if issued by a court or judge)
usurp		verb	juːˈzɜːp	"* seize and take control without authority and possibly with force; take as one's right or possession
* take the place of"
postillion		noun		someone who rides the near horse of a pair in order to guide the horses pulling a carriage (especially a carriage without a coachman)
plutocracy		noun	pluːˈtɒkrəsi	a political system governed by the wealthy people
sinecure		noun	ˈsaɪnɪkjʊə	"* a benefice to which no spiritual or pastoral duties are attached
* an office that involves minimal duties"
swarthy		adjective	ˈswɔːði	naturally having skin of a dark color
synod		noun	ˈsɪnəd	a council convened to discuss ecclesiastical business
saturnine		adjective	ˈsætənaɪn	"* bitter or scornful- Oscar Wilde
* showing a brooding ill humor- Bruce Bli"
rococo		noun	rəˈkəʊkəʊ	fanciful but graceful asymmetric ornamentation in art and architecture that originated in France in the 18th century
excrescence		noun	ɪkˈskresns	"* something that bulges out or is protuberant or projects from its surroundings
* an abnormal outgrowth or enlargement of some part of the body"
impudent		adjective	ˈɪmpjʊdənt	"* marked by casual disrespect
* improperly forward or bold"
insolence		noun	ˈɪnsələns	"* the trait of being rude and impertinent; inclined to take liberties
* an offensive disrespectful impudent act"
sardonic		adjective	sɑːˈdɒnɪk	disdainfully or ironically humorous; scornful and mocking- Frank Schoenberner- Irwin Edman
plenitude		noun	ˈplenɪtjuːd	a full supply
ontology		noun		"* a rigorous and exhaustive organization of some knowledge domain that is usually hierarchical and contains all the relevant entities and their relations
* the metaphysical study of the nature of being and existence"
inexpiable		adjective		incapable of being atoned for
salvific		adjective		pertaining to the power of salvation or redemption
perdition		noun	pəˈdɪʃən	the abode of Satan and the forces of evil; where sinners suffer eternal punishment- John Milton
Afrofuturism	Afrofuturism			
oeuvre		noun		the total output of a writer or artist (or a substantial part of it)
sclerotic		adjective		"* relating to or having sclerosis; hardened
* of or relating to the sclera of the eyeball"
miserabilism	miserabilism			
heterodox		adjective	ˈhetərədɒks	characterized by departure from accepted beliefs or standards
philistine		noun	ˈfɪlɪstaɪn	"* a person who is uninterested in intellectual pursuits
* a member of an Aegean people who settled ancient Philistia around the 12th century BC"
philistine		adjective	ˈfɪlɪstaɪn	"* of or relating to ancient Philistia or its culture or its people
* smug and ignorant and indifferent or hostile to artistic and cultural values"
negritude		noun		an ideological position that holds Black culture to be independent and valid on its own terms; an affirmation of the African cultural heritage
malapropism		noun	ˈmæləprɒpɪzəm	the unintentional misuse of a word by confusion with one that sounds similar
furtive		adjective	ˈfɜːtɪv	"* marked by quiet and caution and secrecy; taking pains to avoid being observed
* secret and sly or sordid- A.L.Guerard"
laconic		adjective	ləˈkɒnɪk	brief and to the point; effectively cut short